ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent
80503,LONGMONT,Longmont,CO,BOULDER,Boulder,40.179731,-105.20545,1618.0
80521,FORT COLLINS,Fort Collins,CO,LARIMER,Larimer,40.598394,-105.126392,1266.0
80525,FORT COLLINS,Fort Collins,CO,LARIMER,Larimer,40.514476,-105.01989499999999,1434.0
80526,FORT COLLINS,Fort Collins,CO,LARIMER,Larimer,40.521796,-105.13956,1265.0
80601,BRIGHTON,Brighton,CO,ADAMS,Adams,39.942861,-104.799537,1508.0
80537,LOVELAND,Loveland,CO,LARIMER,Larimer,40.36618,-105.170723,1278.0
80538,LOVELAND,Loveland,CO,LARIMER,Larimer,40.503903,-105.13124499999999,1398.0
80907,COLORADO SPRINGS,Colorado Springs,CO,EL PASO,El Paso,38.878444,-104.827614,969.0
80909,COLORADO SPRINGS,Colorado Springs,CO,EL PASO,El Paso,38.855487,-104.77493,1010.0
80904,COLORADO SPRINGS,Colorado Springs,CO,EL PASO,El Paso,38.86866,-104.879218,1204.0
80906,COLORADO SPRINGS,Colorado Springs,CO,EL PASO,El Paso,38.772292,-104.849254,1272.0
80910,COLORADO SPRINGS,Colorado Springs,CO,EL PASO,El Paso,38.805228,-104.776384,943.0
80916,COLORADO SPRINGS,Colorado Springs,CO,EL PASO,El Paso,38.810388,-104.70554200000001,1122.0
93534,LANCASTER,Lancaster,CA,LOS ANGELES,Los Angeles,34.73325,-118.149194,1379.0
93720,FRESNO,Fresno,CA,FRESNO,Fresno,36.861368,-119.76119399999999,1484.0
93722,FRESNO,Fresno,CA,FRESNO,Fresno,36.804425,-119.888939,1076.0
94010,BURLINGAME,Burlingame,CA,SAN MATEO,San Mateo,37.567832,-122.36944799999999,3800.0
94043,MOUNTAIN VIEW,Mountain View,CA,SANTA CLARA,Santa Clara,37.419156,-122.07541299999998,3417.0
94085,SUNNYVALE,Sunnyvale,CA,SANTA CLARA,Santa Clara,37.3886,-122.016779,3617.0
94086,SUNNYVALE,Sunnyvale,CA,SANTA CLARA,Santa Clara,37.36965,-122.02421000000001,2832.0
