ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent_one
11217,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.681293,-73.980954,2750.0
11218,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.644512,-73.978228,1873.0
11219,BROOKLYN,Brooklyn,NY,KINGS,Kings,40.633388000000004,-73.996767,1582.0
11354,FLUSHING,Flushing,NY,QUEENS,Queens,40.766534,-73.827037,1798.0
11355,FLUSHING,Flushing,NY,QUEENS,Queens,40.751002,-73.82273199999999,1733.0
11358,FLUSHING,Flushing,NY,QUEENS,Queens,40.761603,-73.794507,1642.0
11367,FLUSHING,Flushing,NY,QUEENS,Queens,40.729383,-73.82731899999999,1767.0
11368,CORONA,Corona,NY,QUEENS,Queens,40.75233,-73.853462,1695.0
11378,MASPETH,Maspeth,NY,QUEENS,Queens,40.724032,-73.908541,1625.0
11379,MIDDLE VILLAGE,Middle Village,NY,QUEENS,Queens,40.718462,-73.88048,1598.0
11385,RIDGEWOOD,Ridgewood,NY,QUEENS,Queens,40.698203,-73.880444,1742.0
11418,RICHMOND HILL,Richmond Hill,NY,QUEENS,Queens,40.699576,-73.831452,1617.0
11432,JAMAICA,Jamaica,NY,QUEENS,Queens,40.715697999999996,-73.792828,1808.0
11372,JACKSON HEIGHTS,Jackson Heights,NY,QUEENS,Queens,40.75173,-73.882981,1762.0
11373,ELMHURST,Elmhurst,NY,QUEENS,Queens,40.738341,-73.877886,1751.0
11374,REGO PARK,Rego Park,NY,QUEENS,Queens,40.724094,-73.86245699999999,1932.0
11375,FOREST HILLS,Forest Hills,NY,QUEENS,Queens,40.723074,-73.842196,1858.0
11377,WOODSIDE,Woodside,NY,QUEENS,Queens,40.747995,-73.906412,1761.0
11415,KEW GARDENS,Kew Gardens,NY,QUEENS,Queens,40.708090000000006,-73.830299,1763.0
11421,WOODHAVEN,Woodhaven,NY,QUEENS,Queens,40.692910999999995,-73.856759,1641.0
11435,JAMAICA,Jamaica,NY,QUEENS,Queens,40.700956,-73.809976,1710.0
11561,LONG BEACH,Long Beach,NY,NASSAU,Nassau,40.589515999999996,-73.640784,1967.0
12047,COHOES,Cohoes,NY,ALBANY,Albany,42.786912,-73.723729,1291.0
12180,TROY,Troy,NY,RENSSELAER,Rensselaer,42.74558,-73.59177,969.0
17109,HARRISBURG,Harrisburg,PA,DAUPHIN,Dauphin,40.289956,-76.821368,825.0
17602,LANCASTER,Lancaster,PA,LANCASTER,Lancaster,40.011486,-76.249454,864.0
17603,LANCASTER,Lancaster,PA,LANCASTER,Lancaster,40.006626000000004,-76.360764,798.0
18018,BETHLEHEM,Bethlehem,PA,NORTHAMPTON,Northampton,40.630398,-75.394327,962.0
18103,ALLENTOWN,Allentown,PA,LEHIGH,Lehigh,40.573712,-75.481788,1046.0
19020,BENSALEM,Bensalem,PA,BUCKS,Bucks,40.10115,-74.941677,1202.0
19104,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.964046,-75.197184,1157.0
19106,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.948843,-75.14428199999999,1748.0
19107,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.951938,-75.158746,1678.0
19102,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.952668,-75.165214,1868.0
19103,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.953767,-75.176335,1820.0
19114,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,40.06728,-75.00488399999999,1029.0
19123,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.96294,-75.143766,1567.0
19125,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.976408,-75.12217,1458.0
19128,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,40.047188,-75.229979,1062.0
19143,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.941018,-75.228165,963.0
19146,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.939145,-75.185452,1426.0
19130,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.967428000000005,-75.17670799999999,1612.0
19131,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.98925,-75.221153,1235.0
19147,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.936478,-75.15185799999999,1432.0
19148,PHILADELPHIA,Philadelphia,PA,PHILADELPHIA,Philadelphia,39.911896,-75.151445,1017.0
19355,MALVERN,Malvern,PA,CHESTER,Chester,40.041973,-75.533698,1610.0
19380,WEST CHESTER,West Chester,PA,CHESTER,Chester,39.989232,-75.611876,1442.0
19382,WEST CHESTER,West Chester,PA,CHESTER,Chester,39.923246,-75.61563100000001,1304.0
19401,NORRISTOWN,Norristown,PA,MONTGOMERY,Montgomery,40.131126,-75.33164000000001,1258.0
19446,LANSDALE,Lansdale,PA,MONTGOMERY,Montgomery,40.226262,-75.293266,1172.0
19428,CONSHOHOCKEN,Conshohocken,PA,MONTGOMERY,Montgomery,40.079803000000005,-75.307606,1613.0
23606,NEWPORT NEWS,Newport News,VA,NEWPORT NEWS CITY,Newport News City,37.065053999999996,-76.528166,1078.0
23666,HAMPTON,Hampton,VA,HAMPTON CITY,Hampton City,37.062782,-76.40522,907.0
23803,PETERSBURG,Petersburg,VA,PETERSBURG CITY,Petersburg City,37.205962,-77.46609000000001,902.0
23503,NORFOLK,Norfolk,VA,NORFOLK CITY,Norfolk City,36.948056,-76.25698299999999,698.0
23510,NORFOLK,Norfolk,VA,NORFOLK CITY,Norfolk City,36.8522,-76.294156,1300.0
23602,NEWPORT NEWS,Newport News,VA,NEWPORT NEWS CITY,Newport News City,37.114094,-76.51442800000001,983.0
23704,PORTSMOUTH,Portsmouth,VA,PORTSMOUTH CITY,Portsmouth City,36.82201,-76.317128,1092.0
27407,GREENSBORO,Greensboro,NC,GUILFORD,Guilford,36.006178000000006,-79.872066,748.0
27517,CHAPEL HILL,Chapel Hill,NC,ORANGE,Orange,35.841038,-79.02982,1159.0
27519,CARY,Cary,NC,WAKE,Wake,35.813926,-78.882067,1169.0
27560,MORRISVILLE,Morrisville,NC,WAKE,Wake,35.861990999999996,-78.818149,1105.0
27601,RALEIGH,Raleigh,NC,WAKE,Wake,35.775211,-78.63432399999999,1392.0
27604,RALEIGH,Raleigh,NC,WAKE,Wake,35.816936,-78.563843,1105.0
27606,RALEIGH,Raleigh,NC,WAKE,Wake,35.737593,-78.721192,912.0
27607,RALEIGH,Raleigh,NC,WAKE,Wake,35.818811,-78.71404,1106.0
27609,RALEIGH,Raleigh,NC,WAKE,Wake,35.842711,-78.63185,1194.0
27612,RALEIGH,Raleigh,NC,WAKE,Wake,35.851876000000004,-78.702013,1106.0
27613,RALEIGH,Raleigh,NC,WAKE,Wake,35.923982,-78.71668199999999,910.0
27615,RALEIGH,Raleigh,NC,WAKE,Wake,35.902182,-78.627742,961.0
27617,RALEIGH,Raleigh,NC,WAKE,Wake,35.904084000000005,-78.768873,1016.0
27703,DURHAM,Durham,NC,DURHAM,Durham,35.946905,-78.79409799999999,1068.0
27705,DURHAM,Durham,NC,DURHAM,Durham,36.033619,-78.982388,1216.0
27707,DURHAM,Durham,NC,DURHAM,Durham,35.948152,-78.955534,950.0
27587,WAKE FOREST,Wake Forest,NC,WAKE,Wake,35.981296,-78.55018100000001,992.0
27713,DURHAM,Durham,NC,DURHAM,Durham,35.885690999999994,-78.92949300000001,975.0
28027,CONCORD,Concord,NC,CABARRUS,Cabarrus,35.419708,-80.675816,1008.0
28078,HUNTERSVILLE,Huntersville,NC,MECKLENBURG,Mecklenburg,35.400197,-80.866352,1028.0
28105,MATTHEWS,Matthews,NC,MECKLENBURG,Mecklenburg,35.110446,-80.708955,968.0
28216,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.301252000000005,-80.901662,1064.0
28217,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.171003999999996,-80.915103,1013.0
28226,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.106787,-80.829246,938.0
